Titulo,Link,Precio,Estado,Puntuacion,Ubicacion,Marca,Modelo,Capacidad,Condicion,disponibilidad,oferta,Comentarios,modelo_linea,ram,almacenamiento,sistema_operativo
Lenovo Ideapad Gaming 3 - I5 11th Gen - 8 Gb - Gtx 1650 4gb,https://articulo.mercadolibre.com.pe/MPE-606602647-lenovo-ideapad-gaming-3-i5-11th-gen-8-gb-gtx-1650-4gb-_JM,4299.0,Nuevo,,,Lenovo,,DDR4,"Envío gratis a todo el país,Devolución gratis,, recibe el producto que esperabas o te devolvemos tu dinero.,12 meses de garantía de fábrica.","Disponible 2 días después de tu compra,8 GB,No,15.6 "",Sí,#606602647","14,% OFF","{'0': 'Memoria expandible a cuánto ?', '1': 'Hola, el envío se puede realizar con un courier que entregue más rápido? Ejm Olva Courier', '2': 'Tiene en azul. Saludos', '3': 'BUENAS NOCHES, HAY DISPONIBLE? Y CUANTO ES EL COSTO DE ENVIO A LA CIUDAD DE CHICLAYO? GRACIAS'}",Lenovo Ideapad Gaming 3 - i5 11th Gen - 8 GB - GTX 1650 4GB,8 GB,NVIDIA GeForce® GTX 1650 4GB GDDR6,60 Hz
Laptop 144hz Gamer Acer 15.6' I5 8gb 1tb 256gb Ssd Video 4gb,https://articulo.mercadolibre.com.pe/MPE-607025975-laptop-144hz-gamer-acer-156-i5-8gb-1tb-256gb-ssd-video-4gb-_JM,4199.0,Nuevo,,"Lima, Lima Metropolitana",Acer,AN515,DDR4,"Llega gratis ,Devolución gratis,, recibe el producto que esperabas o te devolvemos tu dinero.,12 meses de garantía de fábrica.","entre el miércoles y el jueves,¡Última disponible!,8 GB,No,15.6 "",#607025975",,"{'0': 'Hola, aún está disponible? Se puede recoger en su tienda fisica?', '1': 'Hola para envio a Lince cuanto es el adicional y lo pueden traer para hoy ?', '2': 'Saludos, tienes tienda física donde se pueda ver el producto?, gracias.', '3': 'Es la versión 2019?', '4': 'Gracias por la respuesta. Si lo compro esta mañana lo pueden enviar hoy? (A Surquillo, Lima). Muchas gracias', '5': 'Buenas noches, quería saber la disponibilidad de este equipo y cuántos puertos USB tiene. Gracias.'}",Nitro 5,8 GB,144 Hz,NVIDIA GeForce GTX 1650
Laptop Asus K513 15.6' I7 11va 12gb 512gb Ssd Tec. Iluminado,https://articulo.mercadolibre.com.pe/MPE-603907622-laptop-asus-k513-156-i7-11va-12gb-512gb-ssd-tec-iluminado-_JM,4159.0,Nuevo,,"Lima, Lima Metropolitana",Asus,K513,DDR4,"Llega gratis ,Devolución gratis,, recibe el producto que esperabas o te devolvemos tu dinero.,12 meses de garantía de fábrica.","entre el miércoles y el jueves,12 GB,No,15.6 "",#603907622",,"{'0': 'Para envio a CHINCHA, si lo compro ahora cuando se realizaria el envio y por cual medio?', '1': 'Hola buen dia, tiene stock? Es para envio a provincia (CHINCHA)'}",VivoBook,12 GB,512 GB,Windows
Hp Pavilion Laptop 14-dv0502la,https://articulo.mercadolibre.com.pe/MPE-607769805-hp-pavilion-laptop-14-dv0502la-_JM,2799.0,Nuevo,,¡Es uno de los mejores del sitio!,HP,476L9LA,DDR4-3200 MHz (2 x 4 GB),"Llega gratis ,Devolución gratis,, recibe el producto que esperabas o te devolvemos tu dinero.","entre el miércoles y el jueves,4 GB,14 in,1366 x 768,Sí,#607769805","22,% OFF","{'0': 'QUISIERA COMPRAR LAPTOP CON CUOTA', '1': 'gracias por responder. que version de windows tiene? tiene paquete office?', '2': 'Hola, aun tienen el producto en stock?', '3': 'Buenas noches, quería saber si realizan envíos a Huancayo por favor', '4': 'Hola, quería saber cuánto de memoria Ram es la que trae, porque en características del producto menciona 4GB y en la descripción dice 8GB de Ram.'}",HP Pavilion,4 GB,512 GB,Windows 10 Home
"Laptop Dell Vostro 3405 14 PuLG Ryzen 5 3450u 8gb, Ssd 256gb",https://articulo.mercadolibre.com.pe/MPE-447970296-laptop-dell-vostro-3405-14-pulg-ryzen-5-3450u-8gb-ssd-256gb-_JM,2391.08,Nuevo,,¡Es uno de los mejores del sitio!,Dell,3405,DDR4,"Llega gratis ,Devolución gratis,, recibe el producto que esperabas o te devolvemos tu dinero.,12 meses de garantía de fábrica.","mañana,8 GB,No,14 "",#447970296","8,% OFF","{'0': 'Que graficos tiene?', '1': 'Buenas tardes tiene en stock? Necesito 1 con Windows 10 y adicional a ello puede instalar el office?', '2': 'Se puede ampliar la memoria ram?', '3': 'Le puedes poner el Windows y el Linux a la vez?', '4': 'Podría venir ya con Windows instalado?', '5': 'Buenas Tardes se puede pagar en cuotas ??', '6': 'Tienes unidades disponibles?', '7': 'Si compro mañana antes del medio día me hacen la entrega por la tarde? En san borja', '8': 'Tiene stock? En cuántos días llegaría a Trujillo?'}",Vostro 14,8 GB,60 Hz,AMD Radeon Vega 8
Laptop Dell 5570 Corei5 6ta 15.6 PuLG 8/32gb Ssd240gb Vid8gb (Reacondicionado),https://articulo.mercadolibre.com.pe/MPE-446013263-laptop-dell-5570-corei5-6ta-156-pulg-832gb-ssd240gb-vid8gb-_JM,2090.0,5,,"Lince, Lima Metropolitana",Dell,E5570,DDR4,"Llega gratis ,, recibe el producto que esperabas o te devolvemos tu dinero.","mañana,8 GB,No,15.6 "",#446013263",,"{'0': 'Buenas tardes...relaizan delivery a iquitos Loreto???', '1': '2280 /s de 16gb 256 GB SSD y todas las especificaciones anteriores. Color plata? Envío a ICA. Cuánto tiempo llegaría?', '2': ""Buenas noches. Tiene disponible la de la publicación 8gb ram, 250 gb ssd. Pantalla de 15.6' color plata. 2080 soles? Para expandir a 16 GB de memoria se puede? Precio adicional"", '3': 'Buenas tardes con memoria ram de 16 GB y disco duro de 1 tb cual es si precio y envío a provincia', '4': 'Se puede ampliar la ram?', '5': 'Deseo saber si tienen tien físic para ver la laptop estoy interesada', '6': 'Hola, aún tienen disponible la laptop Dell de 8 RAM, 4 GB de video, 240 de almacenamiento? Cuál es su dirección física para conocer otros modelos?', '7': 'Con ram de 16gb y ssd de 1b', '8': 'Con ram 16gb y ssd 1tb cuanto seria', '9': 'Hola buenas noches, quisiera me pudieran aclarar una duda. Este equipo sirve si por ejemplo quisiera ponerle Fort Nite? Que tal corre con estas características de equipo? Es para el regalo de navidad de mis hijos. Quisiera su respuesta con total honestidad. Gracias.'}",Latitude,8 GB,Intel HD Graphics 520,1920 px x 1080 px
Laptop Hp Spectre X360 Convertible 14-ea0001la,https://articulo.mercadolibre.com.pe/MPE-444859364-laptop-hp-spectre-x360-convertible-14-ea0001la-_JM,8199.0,Nuevo,,¡Es uno de los mejores del sitio!,HP,30A09LA,,"Llega gratis ,Devolución gratis,, recibe el producto que esperabas o te devolvemos tu dinero.","entre el miércoles y el jueves,13 in,Sí,45 m,#444859364","5,% OFF","{'0': 'Buenas tarde tiene la versión con 2tb ssd, y si el lápiz viene incluído sino para que me lo adicionen, gracias.', '1': 'No entiendo si en su relación que me dicen revise no figura ningún lápices ?por algo pregunto me mandan a ver si hay stock, no pueden indicar que no cuentan en stock con los lápices no más ?para no perder el tiempo ?', '2': 'Hola tengo este modelo de laptop deseo el lápiz para usarlo con este modelo cuánto es el costo por favor', '3': 'Tienes otros colores? Que tiempo dura la batería ?', '4': 'Se puede conectar una pantalla de 144 Hz o lo baja a 60 hz ?', '5': 'BUENAS TARDES, ESTOY BUSCANDO LA VERSION DE LA SPECTRE X 360 CON 4G LTE.'}",Spectre x360,SDRAM LPDDR4-320,512 GB,1 kg
"Laptop Huawei Matebook D14 I5 8gb Ram, 512gb Ssd + Regalos",https://articulo.mercadolibre.com.pe/MPE-446645731-laptop-huawei-matebook-d14-i5-8gb-ram-512gb-ssd-regalos-_JM,2499.0,Nuevo,4.8,¡Es uno de los mejores del sitio!,Huawei,Matebook D14,DDR4- 2400 mhz,"Llega gratis ,Devolución gratis,, recibe el producto que esperabas o te devolvemos tu dinero.,12 meses de garantía de fábrica.","mañana,8 GB,No,Sí,14 "",30 m,#446645731","32,% OFF","{'0': 'Hola, saben si tendran ofertas para esta laptop en el mes de Junio', '1': 'el tipo de pantalla es HD?', '2': 'direccion de tienda fisica para acercarme?', '3': 'puedo recogerla el dia de hoy en su tienda fisica?', '4': 'Podrían realizar el envío el día de hoy? Por favor', '5': 'Traen la letra ñ?', '6': 'Hola, cuales son los regalos que dice que vienen?', '7': 'Hola buenas, si le doy comprar hoy sábado la puedo retirar hoy mismo??', '8': 'Realiza Envío a provincias ?', '9': ""Puede explicar porque dice : Duración de Batería 30' ?????""}",Laptops,8 GB,512 GB,1.38 kg
Laptop Profesional Zbook 17 Corei7 16gb Ssd 480gb Video Dedi (Reacondicionado),https://articulo.mercadolibre.com.pe/MPE-444493716-laptop-profesional-zbook-17-corei7-16gb-ssd-480gb-video-dedi-_JM,2840.5,2,,"Lince, Lima Metropolitana",HP,17 G1,DDR3,"Llega gratis ,, recibe el producto que esperabas o te devolvemos tu dinero.","mañana,16 GB,No,17 "",#444493716","5,% OFF","{'0': 'Cuánto dura la batería??', '1': 'ok, fv me indica cuando lo tenga para darle comprar', '2': 'ok esta bien, indícame q tarjeta de video tiene xf', '3': 'tiene stock para despacho inmediato?', '4': 'Tus precios incluyen igv, puedes emitir factura por la laptop', '5': 'Hola, esta HP la tienen en stock? Es gamer, asi que soporta programas de diseño como Autocad, Revit o similares? Me interesa si es afirmativo la respuesta, y la tendran en stock?', '6': 'pantalla de 17 ?', '7': 'Se puede poner teclado retro iluminado?', '8': 'Buenas tardes, esta laptop resiste el autocad?', '9': 'Buenos días. Llegaron las laptop con teclado iluminado?'}",ZBook,16 GB,1980x1080,Intel
Laptop Hp 14-cf2064la Intel® Core I3-10110u 4gb 128gb,https://articulo.mercadolibre.com.pe/MPE-605875478-laptop-hp-14-cf2064la-intel-core-i3-10110u-4gb-128gb-_JM,1829.0,Nuevo,,¡Es uno de los mejores del sitio!,HP,Negro,4gb,"Llega gratis ,Devolución gratis,, recibe el producto que esperabas o te devolvemos tu dinero.","entre el miércoles y el jueves,¡Última disponible!,4 GB,14 in,#605875478","17,% OFF","{'0': 'cuanto es su procesador', '1': 'Envíos para huanuco', '2': 'Buenas tardes Pf de comprar hoy cuando llega mi producto vivo en los olivos', '3': 'PRECIO AL CONTADO POR FAVOR', '4': 'DELIVERI PARA IQUITOS - DRECCIÒN', '5': 'Hola buenos días tienen disponible variedad de colores ?', '6': 'Buenos dias, envíos a provincia', '7': 'Se puede ampliar la memoria ram?? hasta cuanto', '8': 'se puede ampliar la memoria ram?', '9': 'Lo necesitaba por trabajo, tendré que ver otra opción, gracias'}",29B20LA,4 GB,128 GB,Windows 10 Home
"Laptop Empresarial Dell E5570 Corei7 6ta, 8gb, Ssd, 15.6'' (Reacondicionado)",https://articulo.mercadolibre.com.pe/MPE-602596498-laptop-empresarial-dell-e5570-corei7-6ta-8gb-ssd-156-_JM,2270.5,3,,"Lince, Lima Metropolitana",Dell,E5570,DDR4,"Envío gratis a todo el país,, recibe el producto que esperabas o te devolvemos tu dinero.","8 GB,No,15.6 "",#602596498","5,% OFF","{'0': 'Buenas tardes, tienen stock del producto promocionado arriba.', '1': 'Donde tienen su oficina en Lima?', '2': 'Ya tienen disponibilidad en stock inmediato?.', '3': 'Hola se puede pagar 50 % contado y saldo con tarjeta por partes... cuanto dura la batería y en cuanto tiempo la entregan. Comprador serio. Vea mi reputación', '4': 'Puedo esperar 20 días, el envío gratis por parte de mercado libre aplica a este producto?', '5': 'Algún modelo con similar pero con tarjeta de video? El envío es gratuito?', '6': 'Hola, para el el sur de Lima cuál es el costo?', '7': 'Lo quiero para Arequipa en cuanto tiempo llega', '8': 'Consulta tarjeta de video de cuánto es', '9': 'consulta si la deseo con 16 gb de memoria se puede y cuanto me costaria??'}",Latitude,8 GB,1920 px x 1080 px,Intel HD Graphics 520
Notebook Lenovo Legion Y545 Intel Core I7 16gb 1tb Hdd+256gb,https://articulo.mercadolibre.com.pe/MPE-610047539-notebook-lenovo-legion-y545-intel-core-i7-16gb-1tb-hdd256gb-_JM,4699.0,Nuevo,,,Lenovo,81Q6S00B00,32 GB,"Retiro gratis en tienda de Tiendas EFE,, recibe el producto que esperabas o te devolvemos tu dinero.","16 GB,15.6 "",#610047539","32,% OFF","{'0': 'De que generación es el procesador?', '1': 'Porfa me puedes confirmar si el sistema operativo Windows está instalado en el SSD?... ó en el HDD. Y si soporta actualización a Windows 11 Pro sin problemas. Entiendo que tienes stock para entrega inmediata por recojo en tienda, verdad?', '2': 'Disculpa, una pregunta más, el teclado es latino español (con tecla ""ñ"") ó es inglés americano?', '3': 'Envío a carabayllo cua ti tiempo demora y cuánto es el costo', '4': 'La grafica es una 1660ti?', '5': 'que memoria gráfica tiene? el modelo', '6': 'Buenas tardes, podrían indicarme qué generación es el procesador y qué memoria gráfica posee? Saludos', '7': 'Buenas tardes Sres, me confirman si el procesador es de 6 núcleos? Pantalla 15.6 FHD? Tarjeta de video dedicada de 6 GB?', '8': 'De que generación es el procesador?', '9': 'Buen día, ¿la laptop sale con la memoria gráfica integrada de 6GB?'}",Legion,16 GB,1 TB,Windows
Laptop Profesional Dell Precision M4800-4910mq 3d/cad Corei7 (Reacondicionado),https://articulo.mercadolibre.com.pe/MPE-443989752-laptop-profesional-dell-precision-m4800-4910mq-3dcad-corei7-_JM,2790.0,9,,"Lince, Lima Metropolitana",Dell,M4800,DDR3,"Envío gratis a todo el país,, recibe el producto que esperabas o te devolvemos tu dinero.","16 GB,15.6 "",HD,#443989752",,"{'0': 'Aún tiene disponible el producto del anuncio?', '1': 'Buenos dias, habia una Oferta 2, ya no la tienem? Y la Oferta 1, la tienen en stock para entrega inmediata?', '2': 'Para envío a Trujillo como se hace y cual sería el costo', '3': 'Y en cuanto a la tarjeta de vídeo..es dedicada?', '4': 'Buenos días la tarjeta de video es independiente. El disco duro es como se muestra en las características 1 terá y 240 SSD', '5': 'podria incluir las fotos reales y/o actual de la laptop?', '6': 'Si le doy comprar, cuando me podrías enviar el producto? Gracias', '7': 'Buenas tardes, este modelo lo tienes para entrega inmediata?, Gracias', '8': 'Cuanto ultimo, teniendo en cuenta que es un dinosaurio pesado', '9': 'Buenas tendrás alguna Dell con tarjeta de video Nvidia quadro... Y donde es su tienda física...'}",Precision,16 GB,Intel,"15.6 """
Lenovo Thinkpad 14p - Ryzen 7 5800h - 16 Gb - 512 Gb Ssd,https://articulo.mercadolibre.com.pe/MPE-607298245-lenovo-thinkpad-14p-ryzen-7-5800h-16-gb-512-gb-ssd-_JM,5299.0,Nuevo,,,Lenovo,Lenovo ThinkPad 14p - Ryzen 7 5800H - 16 GB - 512 GB SSD,DDR4,"Envío gratis a todo el país,Devolución gratis,, recibe el producto que esperabas o te devolvemos tu dinero.,12 meses de garantía de fábrica.","Disponible 2 días después de tu compra,¡Última disponible!,16 GB,No,14 "",Sí,#607298245","25,% OFF","{'0': 'Hola, cuantas entradas USB y HDMI tiene? Estan con stock local?', '1': 'Consulta, emiten factura?', '2': 'Buenas tardes sigue disponible? Este modelo es thinkpad o thinkbook???', '3': 'Hola, el teclado tiene la letra ""Ñ"" ?', '4': 'Buenos días, quiero saber si tiene stock y si el procesador de la patio es el ryzen 7 5800H', '5': 'Hola nuevamente. Creo que hay un error. En la descripción hacen referencia a una ThinkBook (Modelo: 20YN0010LM) y las imágenes son de una ThinkBook. Pero el título dice Thinkpad.', '6': '¿El título es el correcto? ¿Es una Thinkbook o una Thinkpad?'}",ThinkPad,16 GB,512 GB,2.4 kg
