Titulo,Link,precio_normal,precio_online,precio_tarjeta_oh,disponible,marca,link_imagen,tarjeta,sku,teclado_iluminado,lector_de_huella,camara_web,conectividad,bluetooh,disco_duro,cantidad_entrada_hdmi,cantidad_entrada_usb,garantia,ram,modelo,procesador,velocidad_del_procesador,resolucion_pantalla,sistema_operativo,tamaño_de_pantalla,tarjeta_de_video,tipo_de_pantalla,pantalla_touch,bateria,duracion_bateria,tipo_producto,parlantes,largo_cm,ancho_cm,espesor_cm,peso_kg,disponibilidad
"Laptop ASUS 14"" X415JA-EB1707W Core i3 8GB 8GB DDR4 RAM 256GB SSD Silver",https://www.oechsle.pe/laptop-asus-14-x415ja-eb1707w-core-i3-8gb-8gb-ddr4-ram-256gb-ssd-silver-2091534/p,"S/. 2,999.00","S/. 1,549.00",{{price}},· Puedes comprar un máximo de 10 unidades.,ASUS,,No,2091534,No,Sí,sí,Wi-Fi 5(802.11ac),Sí,256 GB SSD,1,4,12 meses,8Gb,X415JA-EB1707W,Core i3,1.2 GHz,FHD (1920 x 1080) 16:9,Windows 11,"14""",,FHD,No,"37WHrs, 2S1P, 2-cell Li-ion","37WHrs, 2S1P, 2-cell Li-ion",Laptop,Incorporados,21.6,32.54,1.99,1.60 Kg,· Puedes comprar un máximo de 10 unidades.
Laptop Gaming 15.6GF63 THIN10UC/I5-10500H/512/8G/4GB3050,https://www.oechsle.pe/laptop-gaming-15-6gf63-thin10uc-i5-10500h-512-8g-4gb3050/p,"S/. 4,599.00","S/. 3,699.00",{{price}},· Puedes comprar un máximo de 10 unidades.,MSI,,NO,2033816,Sí,No,Si,Intel Wi-Fi 6 AX201(2*2 ax) + BT5.1,Sí,512GB NVMe PCIe Gen3x4 SSD,1,3,12 meses,DDR4 8GB (3200MHz),GF63 Thin 10UC,Intel® Core™ i5-10500H 10° Generación,2.50 GHz hasta 4.50 GHz,"15.6"" FHD (1920*1080), 60Hz 72%NTSC IPS-Level, close to 100%sRGB",Windows 10 Home,"15.6""",,IPS,No,"3 cell , 51Whr",Hasta 4 horas en productividad,Notebook Gamer,2 x 2W,25.4 cm,35.9 cm,2.17 cm,1.86 kg,· Puedes comprar un máximo de 10 unidades.
"Laptop ASUS 14"" M415DA-EB931W Ryzen 5 8GB DDR4 RAM 256GB SSD Grey",https://www.oechsle.pe/laptop-asus-14-m415da-eb931w-ryzen-5-8gb-ddr4-ram-256gb-ssd-grey-2091552/p,"S/. 3,199.00","S/. 1,799.00",{{price}},· Puedes comprar un máximo de 10 unidades.,ASUS,,No,2091552,No,Sí,sí,Wi-Fi 5(802.11ac),Sí,256 GB SSD,1,4,12 meses,8Gb,M415DA-EB931W,Ryzen 5,3.7 GHz,FHD (1920 x 1080) 16:9,Windows 11,"14""",,FHD,No,"37WHrs, 2S1P, 2-cell Li-ion","37WHrs, 2S1P, 2-cell Li-ion",Laptop,Incorporados,21.6,32.54,1.99,1.60 Kg,· Puedes comprar un máximo de 10 unidades.
"Laptop HP VICTUS 16-d0505la  16.1"" Intel Core i5-11400H 16GB 512GB SSD",https://www.oechsle.pe/laptop-hp-victus-16-d0505la-16-1-intel-core-i5-11400h-16gb-512gb-ssd-2026532/p,"S/. 4,799.00",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Laptop Lenovo IdeaPad 5i 14"" Intel Core i5 8GB RAM 256GB SSD",https://www.oechsle.pe/laptop-lenovo-ideapad-5i-14-intel-core-i5-8gb-ram-256gb-ssd-1834537/p,"S/. 3,099.00",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Laptop Gamer ROG Strix G15 G513RC 15.6'' R7-6800H 16GB RAM 512GB SSD 4GB Video RTX3050,https://www.oechsle.pe/laptop-gamer-rog-strix-15-g513rc-r7-6800h-16gb-ram-512gb-ssd-4gb-video-rtx3050--2070372/p,"S/. 7,699.00","S/. 6,199.00",{{price}},· Puedes comprar un máximo de 10 unidades.,ASUS,,No,2070372,Sí,No,Sí,Wi-Fi 6E(802.11ax),Sí,512 SSD,1,4,24 meses,16GB RAM,G513RC-HN097W,Ryzen 7,4.7 GHz,FHD (1920 x 1080) 16:9,Windows 11,"15.6 """,,FHD,No,"56WHrs, 4S1P, 4-cell Li-ion","56WHrs, 4S1P, 4-cell Li-ion",Laptop,Incorporados,25.9 cm,35.4 cm,2.06 cm,2.10 Kg,· Puedes comprar un máximo de 10 unidades.
"Laptop HP 15-dy2057la 15.6"" Intel Core i7-1165G7 8GB RAM 512GB+32GB Optane",https://www.oechsle.pe/laptop-hp-15-dy2057la-15-6--intel-core-i7-1165g7-8gb-ram-512gb-32gb-optane/p,"S/. 4,199.00",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Laptop Lenovo Ideapad 1  14"" HD  AMD ATHLON 3020e  4GB RAM  64GB",https://www.oechsle.pe/laptop-lenovo-ideapad-1-14-hd-amd-3020e-4gb-ram-64gb-1953563/p,"S/. 1,899.00",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"HP Laptop 15-ef2507la 15.6"" AMD Ryzen 5 5500U 8GB DDR4 RAM 512 GB SSD Natural silver",https://www.oechsle.pe/hp-laptop-15-ef2507la-15-6-amd-ryzen-5-5500u-8gb-ddr4-ram-512-gb-ssd-natural-silver-2026534/p,"S/. 2,699.00",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Laptop Lenovo Chromebook S330 14"" HD MediaTek MT8173C 4GB RAM 64GB eMMC",https://www.oechsle.pe/laptop-lenovo-chromebook-s330-14-hd-mediatek-mt8173c-4gb-ram-64gb-emmc-1915186/p,"S/. 1,899.00",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
