id,link,precio_normal,precio_online,precio_oh
1,https://www.plazavea.com.pe/notebook-hp-15dw1085la-15-intel-ci3-4gb-256gb-ssd/p,"['2,999']","['1,319']","['1,219']"
2,https://www.plazavea.com.pe/notebook-hp-15ef2507la-15-6-amd-ryzen-5-5000-series-8gb-512gb-ssd/p,"['2,699']","['2,299']","['2,199']"
3,https://www.plazavea.com.pe/notebook-acer-a5155430mj-15-6--intel-core-i3-8gb-256gb-ssd/p,"['2,999']","['1,699']","['1,599']"
4,https://www.plazavea.com.pe/notebook-lenovo-yoga-slim7-14itl05-14-ci7-1165g7-16gb-512gb/p,"['4,999']","['3,549']","['3,399']"
5,https://www.plazavea.com.pe/notebook-lenovo-ideapad-5-14itl05-14-ci5-1135g7-8gb-256gb/p,"['3,999']","['2,299']","['2,149']"
6,https://www.plazavea.com.pe/notebook-acer-a51554593d-15-6--intel-core-i5-8gb-256gb-ssd/p,"['3,899']","['2,399']","['2,299']"
7,https://www.plazavea.com.pe/notebook-acer-an5155573xj-15-6--intel-core-i7-16gb-256gb-ssd/p,"['7,999']","['4,699']","['4,499']"
8,https://www.plazavea.com.pe/matebook-huawei-nobelbwai9b-14-intel-core-i3-10ma-generacion-8gb-256gb-ssd/p,"['1,999']","['1,759']",[]
9,https://www.plazavea.com.pe/laptop-asus-x415eaek1177w-14-intel-core-i3-11va-generacion-8gb-256gb-ssd/p,"['2,399']","['1,459']","['1,399']"
10,https://www.plazavea.com.pe/notebook-hp-16d0503la-16-1-intel-core-i5-11va-generacion-8gb-256gb-ssd/p,"['4,199']","['3,199']","['2,999']"
11,https://www.plazavea.com.pe/notebook-acer-a31557g57my-15-6--intel-core-i5-8gb-512gb-ssd/p,"['4,699']","['2,799']",[]
12,https://www.plazavea.com.pe/notebook-hp-15eh0010la-15-amd-r7-8gb-512gb-ssd/p,[],"['4,999']",[]
13,https://www.plazavea.com.pe/impresora-multifuncional-hp-ink-tank-315/p,['899'],['609'],[]
14,https://www.plazavea.com.pe/laptop-asus-fx506lhhn004w-15-6-intel-core-i5-10ma-generacion-8gb-512gb-ssd/p,"['4,199']","['3,599']","['3,399']"
15,https://www.plazavea.com.pe/laptop-asus-g513ichn046w-15-6-amd-ryzen-7-4000-series-16gb-512gb-ssd/p,"['6,299']","['4,799']",[]
16,https://www.plazavea.com.pe/laptop-dell-3501-15-6-intel-core-i5-1135g7-8gb-256gb-ssd/p,[],"['2,899']",[]
17,https://www.plazavea.com.pe/laptop-asus-fa506ichn042w-15-6-amd-ryzen-5-5000-series-8gb-512gb-ssd/p,"['4,799']","['3,899']","['3,699']"
18,https://www.plazavea.com.pe/laptop-asus-m415daeb900t-14-amd-ryzen-7-16gb-512gb-ssd/p,"['3,699']","['2,899']",[]
19,https://www.plazavea.com.pe/laptop-asus-ux325eakg645w-13-intel-core-i5-11va-generacion-8gb-512gb-ssd/p,"['4,399']","['3,299']",[]
20,https://www.plazavea.com.pe/notebook-acer-an5155551g3-15-6--intel-core-i5-8gb-256gb-ssd/p,"['6,499']","['3,899']",[]
21,https://www.plazavea.com.pe/notebook-lenovo-ideapad-3-14iml05-14-ci3-10110u-4gb-256gb/p,"['2,999']","['1,599']","['1,499']"
22,https://www.plazavea.com.pe/notebook-lenovo-ideapad-3-15iil05-15-6-ci5-1035g4-8gb-1tb/p,"['3,699']","['2,249']",[]
23,https://www.plazavea.com.pe/mouse-inalambrico-fiddler-fd-223b/p,[],['24'],[]
24,https://www.plazavea.com.pe/mouse-inalambrico-fiddler-fd-223w/p,[],['24'],[]
25,https://www.plazavea.com.pe/matebook-huawei-nobelbwah9e-14-intel-core-i5-10ma-generacion-8gb-512gb-ssd/p,"['3,699']","['2,799']",[]
26,https://www.plazavea.com.pe/laptop-asus-x415jaeb1361w-14-intel-core-i5-10ma-generacion-8gb-256gb-ssd/p,"['2,899']","['2,699']",[]
27,https://www.plazavea.com.pe/laptop-asus-k513eal12004w-15-6-intel-core-i5-11va-generacion-8gb-512gb-ssd/p,"['3,799']","['3,399']",[]
28,https://www.plazavea.com.pe/laptop-asus-m3401qckm160w-14-amd-ryzen-5-5000-series-8gb-512gb-ssd/p,"['4,999']","['4,599']",[]
29,https://www.plazavea.com.pe/notebook-hp-15ef2502la-15-6-amd-ryzen-3-5000-series-8gb-256gb-ssd/p,[],"['2,399']",[]
30,https://www.plazavea.com.pe/notebook-hp-16d0505la-16-1-intel-core-i5-11va-generacion-16gb-512gb-ssd/p,"['4,799']","['4,199']",[]
31,https://www.plazavea.com.pe/laptop-asus-m415daeb893t-14-amd-ryzen-5-8gb-256gb-ssd/p,"['2,599']","['1,999']",[]
32,https://www.plazavea.com.pe/laptop-asus-e510mabr883ws-15-6-intel-celeron-4gb-128gb-ssd/p,[],"['1,699']",[]
33,https://www.plazavea.com.pe/notebook-acer-an51555777v-15-6--intel-core-i7-16gb-256gb-ssd/p,[],"['9,399']",[]
34,https://www.plazavea.com.pe/funda-para-laptop-blackline-15-executive-1-negro/p,[],['59'],[]
35,https://www.plazavea.com.pe/funda-para-laptop-blackline-15-executive-2-rojo/p,[],['59'],[]
36,https://www.plazavea.com.pe/funda-para-laptop-blackline-15-print-1-blanco-negro-y-rosa/p,[],['39'],[]
37,https://www.plazavea.com.pe/funda-para-laptop-blackline-15-print-2/p,[],['49'],[]
38,https://www.plazavea.com.pe/notebook-huawei-matebook-x-pro-13-9--intelcore-i7-16gb-1tb/p,[],"['6,999']",[]
39,https://www.plazavea.com.pe/notebook-acer-an5155456tp-15-6-intel-core-i5-9300h-8gb512gb/p,[],"['4,299']",[]
40,https://www.plazavea.com.pe/notebook-hp-15dw2032la-15--intel-ci5-1tb/p,[],"['1,999']",[]
41,https://www.plazavea.com.pe/notebook-lenovo-len-legion5-15imh05-15-6-intel-core-i5-1tb/p,"['4,599']","['4,299']",[]
42,https://www.plazavea.com.pe/mouse-inalambrico-fiddler-fd-223g/p,[],['24'],[]
43,https://www.plazavea.com.pe/mochila-targus-16/p,[],['79'],[]
44,https://www.plazavea.com.pe/estuche-para-tablet-disney-7-hk3/p,[],['10'],[]
45,https://www.plazavea.com.pe/laptop-hp-15-cs-intel-i5-12gbram-512gb-ssd-touch-100167633/p,"['4,350']","['3,349']",[]
46,https://www.plazavea.com.pe/laptop-hp-17-cn-intel-i5-12gbram-1tb-windows-10-100198536/p,"['4,280']","['3,299']",[]
47,https://www.plazavea.com.pe/laptop-hp-17-ca-amd-ryzen-5-16gbram-256gb-ssd-windows-10-100198532/p,"['3,890']","['2,999']",[]
48,https://www.plazavea.com.pe/laptop-lenovo-15iil-intel-i7-8gbram-256gb-ssd-x360-touch-win10-100167636/p,"['5,180']","['3,989']",[]
49,https://www.plazavea.com.pe/laptop-lenovo-s340-intel-i7-8gb-ram-256gb-ssd-100167597/p,"['4,670']","['3,599']",[]
