titulo,link,modelo,marca,tarjeta_de_video,procesador_de_video,ram,cant_entrada_usb,hdmi,pantalla,tipo_disco,disco_duro,disco_solido,camara,tipo_de_pantalla,sistema_operativo,alto_cm,ancho_cm,profundidad_cm
,https://www.plazavea.com.pe/notebook-lenovo-ideapad-5-14itl05-14-ci5-1135g7-8gb-256gb/p,,,,,,,,,,,,,,,,,
,https://www.plazavea.com.pe/notebook-acer-a51554593d-15-6--intel-core-i5-8gb-256gb-ssd/p,,,,,,,,,,,,,,,,,
Notebook HP 15-DW1085LA 15'' Intel Ci3 4GB 256GB SSD,https://www.plazavea.com.pe/notebook-hp-15dw1085la-15-intel-ci3-4gb-256gb-ssd/p,HP 15-DW1085LA,,Intel,Intel Core i3 10ma generación,4GB,2,1,15.6 Pulgadas,SATA,256GB SSD,256GBSSD,Sí,,,,,
,https://www.plazavea.com.pe/notebook-acer-a31557g57my-15-6--intel-core-i5-8gb-512gb-ssd/p,,,,,,,,,,,,,,,,,
,https://www.plazavea.com.pe/notebook-hp-16d0503la-16-1-intel-core-i5-11va-generacion-8gb-256gb-ssd/p,,,,,,,,,,,,,,,,,
,https://www.plazavea.com.pe/notebook-hp-15eh0010la-15-amd-r7-8gb-512gb-ssd/p,,,,,,,,,,,,,,,,,
Laptop ASUS X415EA-EK1177W 14'' Intel Core i3 11va generación 8GB 256GB SSD,https://www.plazavea.com.pe/laptop-asus-x415eaek1177w-14-intel-core-i3-11va-generacion-8gb-256gb-ssd/p,X415EA-EK1177W,,Intel,Intel Core i3 11va generación,8GB,4,1,14 Pulgadas,SSD,256GB SSD,Sí,Sí,FHD,,1.99,32.5,21.6
Impresora Multifuncional HP Ink Tank 315,https://www.plazavea.com.pe/impresora-multifuncional-hp-ink-tank-315/p,Ink Tank 315,,,,,1,,,,,,,,,15.8 cm,52.5 cm,31 cm
Laptop ASUS FX506LH-HN004W 15.6'' Intel Core i5 10ma generación 8GB 512GB SSD,https://www.plazavea.com.pe/laptop-asus-fx506lhhn004w-15-6-intel-core-i5-10ma-generacion-8gb-512gb-ssd/p,FX506LH-HN004W,,NVIDIA,Intel Core i5 10ma generación,8GB,4,1,15.6 Pulgadas,SSD,512GB SSD,Sí,Sí,FHD IPS,,2.47,35.9,25.6
Laptop ASUS G513IC-HN046W 15.6'' AMD Ryzen 7 (4000 series) 16GB 512GB SSD,https://www.plazavea.com.pe/laptop-asus-g513ichn046w-15-6-amd-ryzen-7-4000-series-16gb-512gb-ssd/p,G513IC-HN046W,,NVIDIA,AMD Ryzen 7 (4000 series),16GB,4,1,15.6 Pulgadas,SSD,512GB SSD,Sí,Sí,FHD IPS,Windows 10,2.06,35.4,25.9
,https://www.plazavea.com.pe/matebook-huawei-nobelbwai9b-14-intel-core-i3-10ma-generacion-8gb-256gb-ssd/p,,,,,,,,,,,,,,,,,
,https://www.plazavea.com.pe/notebook-lenovo-yoga-slim7-14itl05-14-ci7-1165g7-16gb-512gb/p,,,,,,,,,,,,,,,,,
Laptop DELL 3501 15.6'' Intel Core i5 1135G7 8GB 256GB SSD,https://www.plazavea.com.pe/laptop-dell-3501-15-6-intel-core-i5-1135g7-8gb-256gb-ssd/p,1135G7,,Intel,Intel Core i5 11va generación,8GB,1,1,15.6 Pulgadas,SSD,256GB SSD,,,,Windows 10 Home,31.2,7.1,
